description,images,part,name,weight,associated
"description","images","part","name","weight","associated"
"Used W/ A-00761402 Rotary Cutter Blade Bolt.<br> Dim A (1): 7/8"" - 14","https://www.aiproducts.com/images/00750226(1).JPG,https://www.aiproducts.com/images/00750226(2).JPG,https://www.aiproducts.com/images/00750226(3).JPG","A-00750226","Nut, Rotary Cutter Blade",".19 lbs","null"
"","https://www.aiproducts.com/images/151019009(2).JPG,https://www.aiproducts.com/images/151019009(3).JPG,https://www.aiproducts.com/images/151019009(4).JPG","A-00755599","Center Hub","5.00 lbs","null"
"Expan.Valve to A/C Line<br> Dim A (1): Ck O-ring sizes<br> Dim B (2): .0625"" Width<br> Dim C (3): Std. # Size 008<br> Dim D (4): 70 Durometer<br> Dim E (5): Material: H4A<br> Replaces: 360599R1","","A-008N","O-Ring Replacement (10 pk)",".01 lbs","null"
"Inside Diameter: 2.000""<br> Outside Diameter: 3.125""<br> Width: .560""","https://www.aiproducts.com/images/015288A(1).JPG,https://www.aiproducts.com/images/015288A(2).JPG","A-015288A","Seal, Front Dust",".03 lbs","null"
"Rotary Cutter Blade, Clockwise rotation. Length: 14.500"", Hole Dia. 1.500"", Width: 5.000"", Thickness: .625"". For Terrain King Rotary Cutter models: A-Boom, A1300M.<br> Center Of Hole To End Len: 12.000""<br> Hole Diameter: 1.500""<br> Offset Height: flat<br> Overall Length: 14.500""<br> Thickness: .625""<br> Type: CW Double Sided<br> Width: 5.000""","https://www.aiproducts.com/images/02726900.JPG,https://www.aiproducts.com/images/ROTOBLD.JPG,https://www.aiproducts.com/images/02726900(1).JPG","A-02726900","Blade, Rotary Cutter, CW Double Sided","13.48 lbs","A-7A6042"
"1/2"" x 64"" Wrapped Aramid Cord","","A-04557400","Belt, Pump Drive",".38 lbs","null"
"5/8"" x 50"" Wrapped Aramid Cord","https://www.aiproducts.com/images/B47K(1).JPG","A-07200011","Belt, Blade Drive",".48 lbs","null"
"3/8"" x 34.75"" Wrapped Aramid Cord","","A-07200101","Belt, Traction Drive",".10 lbs","null"
"1/2"" x 130.2"" Wrapped Polyester Cord<br> Color: Brown<br> Length: 130.2""<br> Material: Polyester Cord<br> Thickness: 0.364""<br> Type: Wrapped<br> Width: 1/2""","https://www.aiproducts.com/images/07200523(1).JPG,https://www.aiproducts.com/images/B107200523(1).JPG,https://www.aiproducts.com/images/B107200523(2).JPG,https://www.aiproducts.com/images/07200523(2).JPG","A-07200523","Deck Belt 42"" Deck 1/2"" X 130.2"" Wrap Poly",".85 lbs","null"
"Bolt: 5/8"" X 10-1/2""<br> Diameter: .625""<br> Length: 10.500""<br> Thread Length: 3.750""","","A-08H4219","Bolt; Tension Screw",".75 lbs","null"
"Yoke and Shaft Assembly. Rectangular 1"" x 1-1/8"" shaft assembly. Centerline to end is 23.625"".<br> Original Weasler part.<br> Centerline To End: 23.625""<br> Replaces: Neapco Part No: 65-2828<br> Shaft: 1"" x 1 1/8"" OD","https://www.aiproducts.com/images/10001438(1).JPG,https://www.aiproducts.com/images/10001438(2).JPG","A-10001438","Yoke & Shaft Assembly 1"" x 1 1/8"" Shaft","9.90 lbs","null"
"Single prong combine pickup tooth.<br> Set Quantity: 50 per pkg","https://www.aiproducts.com/images/1000380(1).JPG,https://www.aiproducts.com/images/1000380(2).JPG","A-1000380","single prong tooth","3.00 lbs","null"
"A brand new 25 ft. spool of #13 nylon covered pin that is 0.093"" in diameter.<br> 25' spool<br> Diameter: .093""<br> Set Quantity: spool","https://www.aiproducts.com/images/GRAPHICNOTAVAIL.JPG","A-1000892","#13 Nylon Covered Pin",".50 lbs","null"
"Dim A (1): 7 in.<br> Ply/Texture: 3Ply Diamond Top","https://www.aiproducts.com/images/DIAMONDTOP(1).JPG,https://www.aiproducts.com/images/DIAMONDTOP(2).JPG,https://www.aiproducts.com/images/DIAMONDTOP(3).JPG","A-1002301360","BULK, 3 PLY, Diamond Top, 7"" X 360'","1.12 lbs","null"
"Replaces: AT13296T, AT17766T, BMD# 100370N","https://www.aiproducts.com/images/100370-4(1).JPG,https://www.aiproducts.com/images/100370-4(2).JPG,https://www.aiproducts.com/images/100370-4(3).JPG,https://www.aiproducts.com/images/100370-4(4).JPG","A-100370-4","Pressure Plate: 11""","18.10 lbs","null"
"","https://www.aiproducts.com/images/100709-1(1).JPG,https://www.aiproducts.com/images/100709-1(2).JPG,https://www.aiproducts.com/images/100709-1(3).JPG","A-100709-1","10 COVER ASSY","13.00 lbs","null"
"New raptor Rub-R-Cleat draper belt, 42"" x 198"" (16.5 ft.). The patent-pending Raptor technology is the first draper to use 100% polyester filament yarns rather than spun polyester fibers while using the benefits of both skim coating and friction coating rubber. The Raptor draper belt is made of filament fabric, immediately making it stronger and more durable. Pound for pound, a filament fabric WILL ALWAYS outperform a similar spun fabric with higher tensile, tear and puncture resistance. The Raptor draper belt features a friction coat on the underside of the belt and a skim coat on top. The result: Optimal Protection with Less Drag. Fits Versatile swather/windrowers with 25 ft. cuts.<br> Cleat Type: Rub-R-Cleat<br> Cut Width: 25'<br> Replaces: 69061<br> Size: 42"" X 198""","https://www.aiproducts.com/images/CLETE-BELTS.JPG","A-1009010","Draper Belt; Raptor","31.60 lbs","null"
"Dim A (1): 36"" X 304""<br> Cut Width: 30'<br> Replaces: AH159534","https://www.aiproducts.com/images/1009244(1).JPG,https://www.aiproducts.com/images/1009244(2).JPG","A-1009244","Draper Belt, Side; Raptor","46.00 lbs","null"
"Tractor Yoke, Safety Slide Lock Collar. 1-3/8"" 6 Spline. For 35R/2200 series. Fits Domestic 35 series drivelines.<br> Original Weasler part.<br> Bore: 1-3/8"" 6 Spline<br> Series: 35R/2200<br> Type: Slide Collar","https://www.aiproducts.com/images/101-3506(1).JPG,https://www.aiproducts.com/images/101-3506(2).JPG","A-101-3506","Safety Slide Lock Tractor Yoke","4.00 lbs","A-13004000"
"Tractor Yoke, Splined. 1-3/8"" 6 Spline with Safety Slide Lock<br> Weasler alternative to original part.","https://www.aiproducts.com/images/101-6506(1).JPG,https://www.aiproducts.com/images/101-6506(2).JPG,https://www.aiproducts.com/images/101-6506(3).JPG","A-101-6506","Yoke, 1 3/8"" - 6 Spline w/ SSL","4.50 lbs","null"
